# Kenya Agricultural Yield Data Extraction (2020-2024)
## Complete County-Level Data for 6 Major Crops

---

## 1. MAIZE - County Level Yields (tonnes/ha)

| County | 2020 | 2021 | 2022 | 2023 | 2024 |
|--------|------|------|------|------|------|
| Baringo | 1.44 | 1.70 | 1.34 | 2.23 | 1.77 |
| Bomet | 1.72 | 1.45 | 1.57 | 2.32 | 1.57 |
| Bungoma | 3.61 | 2.89 | 2.98 | 2.40 | 2.30 |
| Busia | 1.44 | 1.24 | 1.51 | 1.62 | 1.76 |
| Elgeyo Marakwet | 3.38 | 2.74 | 2.28 | 3.48 | 2.79 |
| Embu | 0.99 | 0.87 | 0.29 | 1.20 | 0.74 |
| Homa Bay | 1.28 | 1.03 | 1.20 | 1.47 | 1.65 |
| Kajiado | 0.50 | 0.60 | 0.41 | 1.23 | 1.85 |
| Kakamega | 2.71 | 2.67 | 1.53 | 1.51 | 2.02 |
| Kericho | 2.70 | 2.82 | 2.12 | 2.73 | 3.06 |
| Kiambu | 1.37 | 0.84 | 0.67 | 0.97 | 1.18 |
| Kilifi | 0.62 | 0.49 | 0.66 | 0.85 | 0.82 |
| Kirinyaga | 1.32 | 0.80 | 0.44 | 1.29 | 1.36 |
| Kisii | 1.97 | 1.46 | 1.82 | 1.80 | 0.62 |
| Kisumu | 1.45 | 0.65 | 0.64 | 1.69 | 1.21 |
| Kitui | 0.32 | 0.15 | 0.15 | 0.43 | 0.20 |
| Kwale | 0.60 | 0.60 | 1.96 | 1.01 | 0.76 |
| Laikipia | 1.49 | 1.38 | 0.29 | 1.50 | 1.76 |
| Lamu | 0.76 | 0.28 | 1.50 | 1.62 | 2.09 |
| Machakos | 0.31 | 0.41 | 0.17 | 1.26 | 0.58 |
| Makueni | 0.82 | 0.58 | 0.62 | 0.59 | 0.54 |
| Meru | 1.11 | 0.71 | 0.95 | 1.06 | 0.98 |
| Migori | 1.23 | 1.05 | 1.08 | 1.29 | 1.68 |
| Murang'a | 0.96 | 0.78 | 0.70 | 0.83 | 1.02 |
| Nakuru | 3.17 | 2.77 | 3.22 | 3.01 | 2.14 |
| Nandi | 2.78 | 2.39 | 1.96 | 2.37 | 3.10 |
| Narok | 1.74 | 2.30 | 2.13 | 2.37 | 1.83 |
| Nyamira | 1.58 | 1.44 | 1.59 | 1.32 | 1.84 |
| Nyandarua | 2.22 | 1.99 | 1.34 | 2.25 | 1.91 |
| Nyeri | 0.99 | 0.72 | 0.53 | 1.13 | 0.85 |
| Siaya | 1.14 | 0.64 | 1.04 | 1.49 | 1.85 |
| Taita Taveta | 1.66 | 0.27 | 0.95 | 0.91 | 1.15 |
| Tharaka Nithi | 2.24 | 1.19 | 0.87 | 1.27 | 1.47 |
| Trans Nzoia | 4.66 | 3.81 | 3.57 | 3.58 | 3.39 |
| Uasin Gishu | 4.27 | 3.68 | 3.50 | 4.04 | 4.52 |
| Vihiga | 1.22 | 1.08 | 0.97 | 1.19 | 1.38 |
| West Pokot | 0.72 | 1.52 | 1.51 | 1.96 | 1.72 |

**National Average 2024: 1.67 t/ha**

---

## 2. SORGHUM - County Level Yields (tonnes/ha)

| County | 2020 | 2021 | 2022 | 2023 | 2024 |
|--------|------|------|------|------|------|
| Baringo | 1.54 | 0.39 | 0.35 | 1.09 | 1.31 |
| Bomet | 2.27 | 2.07 | 1.20 | 1.56 | 1.08 |
| Bungoma | 1.53 | 1.50 | 1.22 | 1.56 | 1.67 |
| Busia | 1.16 | 0.68 | 1.01 | 1.43 | 1.36 |
| Elgeyo Marakwet | 1.21 | 1.24 | 1.27 | 1.86 | 2.27 |
| Embu | 0.52 | 0.27 | 0.44 | 1.68 | 0.39 |
| Homa Bay | 1.04 | 1.11 | 0.64 | 1.13 | 1.34 |
| Kakamega | 1.31 | 1.15 | 0.67 | 1.28 | 0.96 |
| Kericho | 1.96 | 1.80 | 1.35 | 1.08 | 1.17 |
| Kisumu | 1.11 | 0.95 | 0.72 | 1.25 | 1.12 |
| Kitui | 2.39 | 0.29 | 0.29 | 0.54 | 0.33 |
| Lamu | 2.08 | 1.13 | 1.01 | 1.42 | 1.80 |
| Machakos | 0.47 | 0.62 | 0.65 | 0.37 | 0.22 |
| Makueni | 0.96 | 0.63 | 0.62 | 0.36 | 0.28 |
| Meru | 1.13 | 0.83 | 0.83 | 3.15 | 0.75 |
| Migori | 0.70 | 0.81 | 0.75 | 0.78 | 2.16 |
| Nakuru | 1.48 | 1.53 | 1.25 | 1.53 | 1.72 |
| Narok | 1.36 | 0.58 | 1.11 | 1.61 | 1.57 |
| Siaya | 0.93 | 0.97 | 1.04 | 0.99 | 1.44 |
| Taita Taveta | 1.61 | 0.68 | 0.62 | 0.60 | 0.50 |
| Tharaka Nithi | 0.66 | 0.65 | 0.60 | 0.59 | 0.61 |
| Vihiga | 1.68 | 0.75 | 0.61 | 1.13 | 0.73 |

**National Average 2024: 0.96 t/ha**

---

## 3. MILLET - County Level Yields (tonnes/ha)

| County | 2020 | 2021 | 2022 | 2023 | 2024 |
|--------|------|------|------|------|------|
| Baringo | 0.85 | 0.73 | 0.86 | 0.93 | 0.96 |
| Bomet | 0.72 | 0.80 | 0.63 | 0.57 | 1.37 |
| Busia | 0.75 | 1.14 | 0.79 | 0.81 | 0.81 |
| Elgeyo Marakwet | 1.19 | 0.85 | 0.75 | 1.20 | 1.39 |
| Embu | 0.44 | 0.08 | 0.30 | 1.44 | 0.76 |
| Kakamega | 0.84 | 0.43 | 0.54 | 0.65 | 0.61 |
| Kericho | 1.08 | 0.95 | 0.90 | 1.62 | 1.09 |
| Kisii | 0.82 | 0.84 | 0.59 | 0.77 | 0.91 |
| Kitui | 2.20 | 0.25 | 0.51 | 0.45 | 0.32 |
| Lamu | 1.07 | 0.99 | 0.89 | 0.95 | 1.75 |
| Meru | 0.99 | 0.77 | 0.40 | 0.76 | 0.33 |
| Migori | 0.64 | 1.19 | 1.13 | 1.27 | 1.31 |
| Nakuru | 1.27 | 1.31 | 1.00 | 1.37 | 1.37 |
| Nyamira | 0.84 | 0.66 | 0.65 | 0.69 | 0.61 |
| Tharaka Nithi | 0.68 | 0.41 | 0.24 | 0.45 | 0.41 |

**National Average 2024: 0.56 t/ha**

---

## 4. BEANS - County Level Yields (tonnes/ha)

| County | 2020 | 2021 | 2022 | 2023 | 2024 |
|--------|------|------|------|------|------|
| Baringo | 1.18 | 0.83 | 0.91 | 0.95 | 0.89 |
| Bomet | 1.37 | 0.97 | 1.01 | 0.97 | 0.72 |
| Bungoma | 0.65 | 0.69 | 0.57 | 0.71 | 0.68 |
| Busia | 0.77 | 0.60 | 0.77 | 0.78 | 0.84 |
| Elgeyo Marakwet | 0.45 | 0.39 | 0.33 | 1.12 | 0.61 |
| Embu | 0.69 | 0.65 | 0.85 | 0.48 | 0.30 |
| Homa Bay | 0.66 | 0.71 | 0.66 | 0.72 | 0.90 |
| Kajiado | 0.88 | 0.67 | 0.49 | 0.89 | 0.68 |
| Kakamega | 0.52 | 0.48 | 0.43 | 0.88 | 0.27 |
| Kericho | 0.64 | 1.13 | 0.98 | 1.09 | 1.09 |
| Kiambu | 1.05 | 0.54 | 0.45 | 0.41 | 0.53 |
| Kirinyaga | 0.47 | 0.34 | 0.28 | 1.07 | 0.85 |
